"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0I540","2020-04-27 00:00:00","3344.000","-99.000","-99.000","4.500","1.000","684.100","","-99.000","-99.000","-99.000","-99.000","5.100","","3.000",""
"C0G890","2020-04-27 00:00:00","24.000","34.000","2.200","21.500","0.880","1013.000","","0.000","-99.000","-99.000","-99.000","25.000","","21.500",""
"C0G720","2020-04-27 00:00:00","50.000","11.000","1.600","20.900","0.800","1009.700","","0.000","-99.000","-99.000","-99.000","26.100","","20.500",""
"C0UA40","2020-04-27 00:00:00","1121.000","18.000","2.300","12.300","0.990","893.600","","3.500","-99.000","-99.000","-99.000","18.500","","9.800",""
"C0V400","2020-04-27 00:00:00","56.000","52.000","2.300","23.300","0.840","1008.600","","0.000","-99.000","-99.000","-99.000","29.500","","21.200",""
"C0X130","2020-04-27 00:00:00","27.000","360.000","1.100","22.800","0.760","1012.300","","0.000","-99.000","-99.000","-99.000","28.800","","21.500",""
"C0A520","2020-04-27 00:00:00","48.000","51.000","2.600","20.900","0.760","1012.100","","0.500","-99.000","-99.000","-99.000","21.900","","18.300",""
"C0U870","2020-04-27 00:00:00","474.000","304.000","0.500","17.600","0.820","965.200","","0.000","-99.000","-99.000","-99.000","21.000","","15.300",""
"C0S690","2020-04-27 00:00:00","522.000","22.000","1.000","18.800","1.000","958.300","","3.500","-99.000","-99.000","-99.000","28.300","","18.700",""
"C0R150","2020-04-27 00:00:00","105.000","48.000","0.600","23.800","0.800","1002.600","","0.000","-99.000","-99.000","-99.000","34.500","","21.600",""
"C0K560","2020-04-27 00:00:00","117.000","132.000","0.600","20.700","0.910","1003.000","","0.000","-99.000","-99.000","-99.000","27.700","","19.700",""
"C0X100","2020-04-27 00:00:00","10.000","354.000","3.500","23.100","0.710","1012.900","","0.000","-99.000","-99.000","-99.000","28.800","","21.900",""
"C0K460","2020-04-27 00:00:00","60.000","31.000","1.800","21.200","0.790","1008.100","","0.000","-99.000","-99.000","-99.000","26.200","","20.500",""
"C0M740","2020-04-27 00:00:00","15.000","14.000","0.600","21.900","0.800","1013.500","","0.000","-99.000","-99.000","-99.000","26.600","","20.600",""
"C0SA10","2020-04-27 00:00:00","411.000","336.000","0.300","18.600","1.000","970.700","","0.000","-99.000","-99.000","-99.000","27.200","","18.400",""
"C0C660","2020-04-27 00:00:00","176.000","53.000","0.900","20.100","0.670","996.700","","0.500","-99.000","-99.000","-99.000","22.500","","18.400",""
"C0R620","2020-04-27 00:00:00","34.000","46.000","2.600","22.900","0.960","1012.700","","2.500","9.300","39.000","","30.400","","22.900",""
"C0R780","2020-04-27 00:00:00","72.000","19.000","4.500","23.100","0.900","1009.600","","2.500","-99.000","-99.000","-99.000","29.500","","21.500",""
"C0R700","2020-04-27 00:00:00","19.000","63.000","3.000","25.400","0.690","1013.700","","0.000","-99.000","-99.000","-99.000","28.600","","22.100",""
"C0AH40","2020-04-27 00:00:00","426.000","351.000","3.000","19.400","0.880","966.100","","0.000","-99.000","-99.000","-99.000","20.400","","17.900",""
"C0X280","2020-04-27 00:00:00","22.000","39.000","2.500","22.500","0.740","1013.600","","0.000","-99.000","-99.000","-99.000","26.400","","21.300",""
"C0V620","2020-04-27 00:00:00","18.000","17.000","1.800","23.500","0.820","1013.700","","0.000","-99.000","-99.000","-99.000","28.800","","21.700",""
"C0H960","2020-04-27 00:00:00","120.000","0.000","0.000","22.300","0.730","1000.900","","0.000","-99.000","-99.000","-99.000","26.500","","20.200",""
"C0M530","2020-04-27 00:00:00","1385.000","0.000","0.000","16.600","0.990","871.400","","0.500","-99.000","-99.000","-99.000","21.200","","14.000",""
"C0R170","2020-04-27 00:00:00","26.000","0.000","0.000","24.400","0.750","1012.900","","0.000","-99.000","-99.000","-99.000","33.100","","21.700",""
"C0I420","2020-04-27 00:00:00","305.000","0.000","0.000","20.700","0.920","981.200","","0.000","-99.000","-99.000","-99.000","26.900","","19.100",""
"C0A640","2020-04-27 00:00:00","241.000","0.000","0.000","17.400","0.940","992.400","","0.500","-99.000","-99.000","-99.000","20.600","","17.200",""
"C0A930","2020-04-27 00:00:00","216.000","0.000","0.000","19.500","0.850","991.700","","0.500","-99.000","-99.000","-99.000","21.100","","17.300",""
"C0F9M0","2020-04-27 00:00:00","230.000","317.000","0.800","20.500","0.860","989.400","","0.000","-99.000","-99.000","-99.000","24.300","","19.400",""
"C0AC40","2020-04-27 00:00:00","1079.000","66.000","4.600","12.600","0.990","896.700","","0.000","-99.000","-99.000","-99.000","17.000","","10.900",""
"C0AI00","2020-04-27 00:00:00","188.000","50.000","0.700","19.200","0.880","996.700","","0.000","-99.000","-99.000","-99.000","22.600","","18.500",""
"C0T9M0","2020-04-27 00:00:00","92.000","309.000","2.300","19.600","1.000","1009.200","","3.500","-99.000","-99.000","-99.000","28.100","","19.600",""
"C0S960","2020-04-27 00:00:00","32.000","326.000","0.400","22.600","0.870","1013.500","","1.500","-99.000","-99.000","-99.000","27.200","","22.200",""
"C0K430","2020-04-27 00:00:00","30.000","352.000","1.100","21.300","0.930","1013.300","","0.000","-99.000","-99.000","-99.000","26.200","","20.500",""
"C0Z170","2020-04-27 00:00:00","199.000","69.000","1.000","20.000","1.000","997.100","","2.500","-99.000","-99.000","-99.000","28.800","","19.200",""
"C0Z100","2020-04-27 00:00:00","36.000","242.000","0.300","20.000","0.990","1015.700","","0.000","-99.000","-99.000","-99.000","27.700","","18.900",""
"C0U710","2020-04-27 00:00:00","1942.000","106.000","0.400","10.100","0.990","810.900","","0.000","-99.000","-99.000","-99.000","14.600","","9.300",""
"C0SA30","2020-04-27 00:00:00","92.000","22.000","1.500","20.700","0.910","1007.800","","0.500","-99.000","-99.000","-99.000","25.500","","20.700",""
